sample_id,n_bbox,n_buildings_exact,n_height,n_num_floors,n_vertical_evidence,height_pct_reparsed,vertical_evidence_pct_reparsed,top_geometry_source,top_geometry_source_share_pct,osm_geometry_share_pct,google_open_buildings_share_pct,microsoft_ml_geometry_share_pct,n_distinct_geometry_sources,top_height_source,top_height_source_share_pct,n_distinct_height_sources,bad_lines,city_name,country,ucdb_region,income_group_ucdb,population_2025,hot_days_ge35,hot_days_ge32,hot_days_ge40,height_pct_from_r14,vertical_evidence_pct_from_r14
ucdb_049,97785,91568,0,3,3,0.0,0.0032762537130875,Microsoft ML Buildings,81.27402586056263,0.0709854971168967,18.65498864232046,81.27402586056263,3,(none),,0,0,Cabimas,Venezuela,Latin America and the Caribbean,Upper Middle,299559.3463,314.0,355.0,60.0,0.0,0.0033
ucdb_180,32889,30658,0,0,0,0.0,0.0,Google Open Buildings,70.98310392067323,0.1076391154021788,70.98310392067323,28.90925696392459,3,(none),,0,0,San Carlos,Venezuela,Latin America and the Caribbean,Upper Middle,122453.7669,263.0,340.0,29.0,0.0,0.0
ucdb_058,12136,6775,1,3,4,0.014760147601476,0.059040590405904,Microsoft ML Buildings,91.8819188191882,8.118081180811808,0.0,91.8819188191882,2,OpenStreetMap,100.0,1,0,الياقوت,Saudi Arabia,Northern Africa and Western Asia,High income,101809.4311,226.0,296.0,140.0,0.0148,0.059
ucdb_287,14772,13931,0,0,0,0.0,0.0,Microsoft ML Buildings,53.09740865695212,0.0,46.90259134304788,53.09740865695212,2,(none),,0,0,Mehar Taluka,Pakistan,Central and Southern Asia,Lower Middle,146890.3491,225.0,258.0,122.0,0.0,0.0
ucdb_106,81904,70595,0,0,0,0.0,0.0,Google Open Buildings,65.8941851405907,0.0439124583894043,65.8941851405907,34.0619024010199,3,(none),,0,0,Sahiwal,Pakistan,Central and Southern Asia,Lower Middle,693877.0397,213.0,235.0,96.0,0.0,0.0
ucdb_193,15273,13110,0,0,0,0.0,0.0,Microsoft ML Buildings,64.0884820747521,0.007627765064836,35.90389016018307,64.0884820747521,3,(none),,0,0,Allahabad,Pakistan,Central and Southern Asia,Lower Middle,115761.3581,187.0,230.0,79.0,0.0,0.0
ucdb_163,32701,30315,0,8,8,0.0,0.0263895761174336,OpenStreetMap,80.31007751937985,80.31007751937985,13.122216724393866,6.56770575622629,3,(none),,0,0,Ferkéssédougou,Côte d'Ivoire,Sub-Saharan Africa,Lower Middle,108042.3774,185.0,263.0,21.0,0.0,0.0264
ucdb_184,14110,13835,0,0,0,0.0,0.0,Microsoft ML Buildings,51.58655583664618,48.413444163353816,0.0,51.58655583664618,2,(none),,0,0,Mongo,Chad,Sub-Saharan Africa,Low income,205278.8269,175.0,247.0,98.0,0.0,0.0
ucdb_067,128771,119312,0,0,0,0.0,0.0,Google Open Buildings,52.83877564704304,1.227035000670511,52.83877564704304,45.934189352286445,3,(none),,0,0,Kosti,Sudan,Northern Africa and Western Asia,Low income,437240.6531,166.0,284.0,75.0,0.0,0.0
ucdb_080,10456,9915,0,0,0,0.0,0.0,Microsoft ML Buildings,96.06656580937972,3.933434190620273,0.0,96.06656580937972,2,(none),,0,0,Umm Hajar,Chad,Sub-Saharan Africa,Low income,118033.7518,163.0,242.0,111.0,0.0,0.0
ucdb_172,34996,25342,0,1,1,0.0,0.0039460184673664,Microsoft ML Buildings,68.22665930076552,0.0512982400757635,31.72204245915871,68.22665930076552,3,(none),,0,0,Tima,Egypt,Northern Africa and Western Asia,Lower Middle,255070.2698,157.0,193.0,94.0,0.0,0.0039
ucdb_188,62004,54565,0,0,0,0.0,0.0,Google Open Buildings,64.16017593695592,0.0348208558599835,64.16017593695592,35.80500320718409,3,(none),,0,0,Kasur,Pakistan,Central and Southern Asia,Lower Middle,552723.0383,156.0,225.0,74.0,0.0,0.0
ucdb_077,137833,103641,82,11,91,0.0791192674713675,0.0878030895109078,Google Open Buildings,52.10486197547303,3.2371358825175367,52.10486197547303,44.65800214200944,3,Microsoft ML Buildings,100.0,1,0,Nuevo Laredo,México,Latin America and the Caribbean,Upper Middle,316098.3704,156.0,223.0,34.0,0.0791,0.0878
ucdb_056,4730,3763,103,53,139,2.737177783683232,3.693861280892905,OpenStreetMap,100.0,100.0,0.0,0.0,1,OpenStreetMap,100.0,1,0,Bandar Abbas,Iran,Central and Southern Asia,Lower Middle,374709.0936,151.0,197.0,24.0,2.7372,3.6939
ucdb_122,10075,9760,0,0,0,0.0,0.0,Microsoft ML Buildings,78.125,21.875,0.0,78.125,2,(none),,0,0,Moussoro,Chad,Sub-Saharan Africa,Low income,128413.6356,148.0,225.0,107.0,0.0,0.0
ucdb_244,48524,37522,0,0,0,0.0,0.0,Microsoft ML Buildings,99.64021107616864,0.3597889238313523,0.0,99.64021107616864,2,(none),,0,0,Lashkar Gah,Afghanistan,Central and Southern Asia,Low income,197380.2147,144.0,174.0,89.0,0.0,0.0
ucdb_256,36920,36126,0,0,0,0.0,0.0,Google Open Buildings,64.62658473121851,24.021480374245694,64.62658473121851,11.351934894535791,3,(none),,0,0,Gashua,Nigeria,Sub-Saharan Africa,Lower Middle,139353.4135,144.0,194.0,100.0,0.0,0.0
