ucdb_region,sample_n,observed_trigger_centres,sample_population,sample_trigger_population,sample_trigger_rate,frame_n,frame_population,estimated_trigger_centres,sample_trigger_population_share,estimated_trigger_population,estimated_trigger_population_share,outcome
Australia and New Zealand,1,0.0,4010658.252,0.0,0.0,21,16421066.0407,0.0,0.0,0.0,0.0,trigger_height_below_5pct_design_cutoff_conservative
Central and Southern Asia,75,18.0,46755066.3488,21224108.3122,0.24,1492,799596973.4284999,358.08,0.4539424274123553,362970991.0697058,0.4539424274123553,trigger_height_below_5pct_design_cutoff_conservative
Eastern and South-Eastern Asia,84,10.0,150349070.8262,34897721.5501,0.119047619047619,1673,1023951403.393,199.16666666666663,0.2321113217283593,237670713.6271577,0.2321113217283593,trigger_height_below_5pct_design_cutoff_conservative
Europe,30,0.0,9177616.6691,0.0,0.0,588,262058940.4975,0.0,0.0,0.0,0.0,trigger_height_below_5pct_design_cutoff_conservative
Latin America and the Caribbean,29,5.0,23172923.5503,1155553.5202,0.1724137931034483,575,333057007.4813,99.13793103448276,0.0498665400458303,16608400.60111066,0.0498665400458303,trigger_height_below_5pct_design_cutoff_conservative
Northern Africa and Western Asia,27,7.0,7196094.0,1832379.4407,0.2592592592592592,539,302807620.3362,139.74074074074073,0.2546352841833361,77105504.45718804,0.2546352841833361,trigger_height_below_5pct_design_cutoff_conservative
Northern America,11,0.0,8730094.2493,0.0,0.0,214,145686882.6141,0.0,0.0,0.0,0.0,trigger_height_below_5pct_design_cutoff_conservative
Oceania,1,0.0,442164.8952,0.0,0.0,8,1427792.8120000002,0.0,0.0,0.0,0.0,trigger_height_below_5pct_design_cutoff_conservative
Sub-Saharan Africa,42,10.0,11402820.0203,1468722.9896,0.238095238095238,834,414574836.0057,198.57142857142856,0.1288034878201435,53398684.83999818,0.1288034878201435,trigger_height_below_5pct_design_cutoff_conservative
Australia and New Zealand,1,0.0,4010658.252,0.0,0.0,21,16421066.0407,0.0,0.0,0.0,0.0,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Central and Southern Asia,75,18.0,46755066.3488,21224108.3122,0.24,1492,799596973.4284999,358.08,0.4539424274123553,362970991.0697058,0.4539424274123553,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Eastern and South-Eastern Asia,84,10.0,150349070.8262,34897721.5501,0.119047619047619,1673,1023951403.393,199.16666666666663,0.2321113217283593,237670713.6271577,0.2321113217283593,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Europe,30,0.0,9177616.6691,0.0,0.0,588,262058940.4975,0.0,0.0,0.0,0.0,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Latin America and the Caribbean,29,4.0,23172923.5503,1028500.3853,0.1379310344827586,575,333057007.4813,79.3103448275862,0.0443837128736691,14782306.59061348,0.0443837128736691,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Northern Africa and Western Asia,27,7.0,7196094.0,1832379.4407,0.2592592592592592,539,302807620.3362,139.74074074074073,0.2546352841833361,77105504.45718804,0.2546352841833361,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Northern America,11,0.0,8730094.2493,0.0,0.0,214,145686882.6141,0.0,0.0,0.0,0.0,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Oceania,1,0.0,442164.8952,0.0,0.0,8,1427792.8120000002,0.0,0.0,0.0,0.0,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Sub-Saharan Africa,42,10.0,11402820.0203,1468722.9896,0.238095238095238,834,414574836.0057,198.57142857142856,0.1288034878201435,53398684.83999818,0.1288034878201435,trigger_vertical_evidence_below_5pct_design_cutoff_conservative
Australia and New Zealand,1,0.0,4010658.252,0.0,0.0,21,16421066.0407,0.0,0.0,0.0,0.0,trigger_height_below_5pct_conservative
Central and Southern Asia,75,27.0,46755066.3488,24113271.6929,0.36,1492,799596973.4284999,537.12,0.5157360169914267,412380958.2744142,0.5157360169914267,trigger_height_below_5pct_conservative
Eastern and South-Eastern Asia,84,13.0,150349070.8262,35702894.4257,0.1547619047619047,1673,1023951403.393,258.9166666666667,0.2374666782408765,243154338.44381955,0.2374666782408765,trigger_height_below_5pct_conservative
Europe,30,1.0,9177616.6691,118892.1119,0.0333333333333333,588,262058940.4975,19.6,0.0129545737402932,3394861.868977972,0.0129545737402932,trigger_height_below_5pct_conservative
