sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,status,n_buildings,height_pct,vertical_evidence_pct,hot_days_ge32,hot_days_ge35,hot_days_ge40,retained_for_heat_readiness,height_below_5pct,heat_exposed_top_quartile,trigger_height_below_5pct_conservative,heat_exposed_design_weighted_top_quartile,trigger_height_below_5pct_design_cutoff_conservative,selected_simulations,pi_hat,design_weight,nonretained_outcome_imputation
ucdb_001,10207,Gushi,China,China,Eastern and South-Eastern Asia,Upper Middle,188007.044,44.0,downloaded,22485,0.0133,0.0311,82,28,0,True,True,False,False,False,False,45,0.01125,88.88888888888889,observed
ucdb_002,3122,Arnhem,Netherlands,Netherlands,Europe,High income,194293.4087,62.0,downloaded,112080,1.7978,4.1551,0,0,0,True,True,False,False,False,False,202,0.0505,19.801980198019802,observed
ucdb_003,2917,Thanh Hoá,Vietnam,Viet Nam,Eastern and South-Eastern Asia,Lower Middle,257053.7589,69.0,downloaded,98572,0.001,0.0051,102,25,2,True,True,False,False,False,False,617,0.15425,6.482982171799027,observed
ucdb_004,797,Léogâne,Haiti,Haiti,Latin America and the Caribbean,Lower Middle,162657.2234,49.0,downloaded,47895,0.0,0.0084,175,2,0,True,True,False,False,False,False,208,0.052,19.23076923076923,observed
ucdb_005,6940,Bani Gala,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,154614.1539,24.0,downloaded,25893,0.0,0.1429,115,71,36,True,True,True,True,False,False,257,0.06425,15.56420233463035,observed
ucdb_006,2304,Qarshi,Uzbekistan,Uzbekistan,Central and Southern Asia,Lower Middle,512027.1313,149.0,downloaded,97485,0.0195,55.9758,118,95,43,True,True,True,True,False,False,1125,0.28125,3.5555555555555554,observed
ucdb_007,4821,Kasaji,Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,314536.9724,16.0,downloaded,14488,0.0,0.0,137,28,0,True,True,False,False,False,False,225,0.05625,17.77777777777778,observed
ucdb_008,1127,Quetta,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,969068.0898,151.0,downloaded,247022,0.0607,0.0648,71,26,1,True,True,False,False,False,False,259,0.06475,15.444015444015443,observed
ucdb_009,4930,Qarabagh,Afghanistan,Afghanistan,Central and Southern Asia,Low income,134534.3956,34.0,downloaded,7650,0.0,0.0,10,0,0,True,True,False,False,False,False,979,0.24475,4.085801838610827,observed
ucdb_010,885,Dashoguz,Turkmenistan,Turkmenistan,Central and Southern Asia,Upper Middle,182056.1445,44.0,downloaded,1100,0.0,43.2727,92,67,19,True,True,True,True,False,False,1250,0.3125,3.2,observed
ucdb_011,2318,Muar,Malaysia,Malaysia,Eastern and South-Eastern Asia,Upper Middle,127386.1714,45.0,downloaded,30578,0.0033,0.0785,37,0,0,True,True,False,False,False,False,715,0.17875,5.594405594405595,observed
ucdb_012,1385,Torquay,United Kingdom,United Kingdom,Europe,High income,111322.811,44.0,downloaded,30967,48.6195,49.0425,0,0,0,True,False,False,False,False,False,207,0.05175,19.32367149758454,observed
ucdb_013,6340,Nalchik,Russia,Russian Federation,Europe,Upper Middle,224565.6776,50.0,downloaded,45370,3.9321,4.3685,15,0,0,True,True,False,False,False,False,200,0.05,20.0,observed
ucdb_014,4069,Karadere,Turkey,Turkey,Northern Africa and Western Asia,Upper Middle,124762.8584,42.0,downloaded,9263,0.0,0.0108,84,33,0,True,True,False,False,False,False,192,0.048,20.833333333333332,observed
ucdb_015,5728,Koriyama,Japan,Japan,Eastern and South-Eastern Asia,High income,215512.8921,63.0,downloaded,99096,0.005,0.1282,8,0,0,True,True,False,False,False,False,495,0.12375,8.080808080808081,observed
