threshold_m,truth_trigger_n,model_trigger_n,tp_n,fp_n,fn_n,recall_pct,precision_pct,missed_share_pct,no_native_height_share_of_truth_trigger_pct,truth_trigger_area_m2,model_trigger_area_m2,tp_area_m2,area_recall_pct,false_positive_share_of_model_trigger_pct,comparison,city_name,metric_block,score,n_valid,top_n,retained_n,false_priority_n,retained_count_share_pct,truth_score_retained_share_pct,false_priority_count_share_pct,model_score_false_priority_share_pct
20.0,26.0,2.0,2.0,0.0,24.0,7.6923076923076925,100.0,92.3076923076923,92.3076923076923,31970.8017578125,1160.752197265625,1160.752197265625,3.6306633973668783,0.0,Overture native vs 3DBAG official truth,Arnhem,highrise,,,,,,,,,
30.0,12.0,2.0,2.0,0.0,10.0,16.666666666666664,100.0,83.33333333333334,83.33333333333334,13037.546630859377,1160.752197265625,1160.752197265625,8.903148959929078,0.0,Overture native vs 3DBAG official truth,Arnhem,highrise,,,,,,,,,
50.0,2.0,0.0,0.0,0.0,2.0,0.0,,100.0,100.0,2528.376708984375,0.0,0.0,0.0,,Overture native vs 3DBAG official truth,Arnhem,highrise,,,,,,,,,
20.0,66.0,25.0,24.0,1.0,42.0,36.36363636363637,96.0,63.63636363636363,63.63636363636363,134130.232421875,94965.00390625,88348.06201171875,65.86737413071855,4.0,Overture native vs 3DBAG official truth,Groningen,highrise,,,,,,,,,
30.0,14.0,18.0,9.0,9.0,5.0,64.28571428571429,50.0,35.714285714285715,28.57142857142857,27633.36328125,83789.28125,22375.80517578125,80.97387548537695,50.0,Overture native vs 3DBAG official truth,Groningen,highrise,,,,,,,,,
50.0,2.0,4.0,1.0,3.0,1.0,50.0,25.0,50.0,0.0,792.87158203125,18358.8310546875,540.2265625,68.13544270510981,75.0,Overture native vs 3DBAG official truth,Groningen,highrise,,,,,,,,,
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Arnhem,top_decile,height_top_decile_native_rankable_only,12.0,2.0,2.0,0.0,100.0,100.0,0.0,0.0
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Arnhem,top_decile,height_area_top_decile_native_rankable_only,12.0,2.0,2.0,0.0,100.0,100.0,0.0,0.0
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Arnhem,top_decile,truth_height_top_decile_native_evidence_recovery,9192.0,920.0,4.0,,0.4347826086956521,0.984472942381238,,
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Groningen,top_decile,height_top_decile_native_rankable_only,33.0,4.0,1.0,3.0,25.0,24.89544878673995,75.0,80.62015503875969
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Groningen,top_decile,height_area_top_decile_native_rankable_only,33.0,4.0,3.0,1.0,75.0,94.01749967833312,25.0,3.7518523875134817
,,,,,,,,,,,,,,,Overture native vs 3DBAG official truth,Groningen,top_decile,truth_height_top_decile_native_evidence_recovery,12767.0,1277.0,29.0,,2.2709475332811278,4.37747158241457,,
