sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,is_capital,centroid_lon,centroid_lat,xmin,ymin,xmax,ymax,sample_population_weight,ucdb_id_r,city_name_r,country_r,ucdb_region_r,income_group_ucdb_r,population_2025_r,area_km2_2025_r,status,cli_returncode,download_elapsed_s,n_bbox,n_buildings,n_height,n_num_floors,n_vertical_evidence,bad_lines,height_pct,floors_pct,vertical_evidence_pct,power_ok,hot_days_ge32,hot_days_ge35,hot_days_ge40,t2m_max_p95,t2m_max_max,heat_readiness_mismatch
ucdb_001,10207,Gushi,China,China,Eastern and South-Eastern Asia,Upper Middle,188007.044,44.0,0,115.66688539293963,32.184754874716376,115.621484175712,32.13736339028922,115.73212674430124,32.2235366535702,0.0007196813525626,10207,Gushi,China,Eastern and South-Eastern Asia,Upper Middle,188007.044,44.0,downloaded,0.0,29.6,27299,22485,3,7,7,0,0.0133,0.0311,0.0311,True,82,28,0,35.47,38.88,False
ucdb_002,3122,Arnhem,Netherlands,Netherlands,Europe,High income,194293.4087,62.0,0,5.911819860854741,51.965223280997655,5.832062807033865,51.91001247638325,5.985478602210532,52.00699991282752,0.0007437452352435,3122,Arnhem,Netherlands,Europe,High income,194293.4087,62.0,downloaded,0.0,21.9,150446,112080,2015,2897,4657,0,1.7978,2.5848,4.1551,True,0,0,0,25.71,29.77,False
ucdb_003,2917,Thanh Hoá,Vietnam,Viet Nam,Eastern and South-Eastern Asia,Lower Middle,257053.7589,69.0,0,105.78860706937152,19.80092391530484,105.739233044584,19.746759027969187,105.83943193569648,19.870934795079865,0.0009839886471832,2917,Thanh Hoá,Vietnam,Eastern and South-Eastern Asia,Lower Middle,257053.7589,69.0,downloaded,0.0,19.6,147185,98572,1,5,5,0,0.001,0.0051,0.0051,True,102,25,2,35.34,41.26,False
ucdb_004,797,Léogâne,Haiti,Haiti,Latin America and the Caribbean,Lower Middle,162657.2234,49.0,0,-72.6370264099536,18.49426437700749,-72.67443139508791,18.44095811049039,-72.58813668042683,18.531742552384816,0.0006226435353167,797,Léogâne,Haiti,Latin America and the Caribbean,Lower Middle,162657.2234,49.0,downloaded,0.0,16.3,64582,47895,0,4,4,0,0.0,0.0084,0.0084,True,175,2,0,34.1,35.15,False
ucdb_005,6940,Bani Gala,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,154614.1539,24.0,0,73.18369688743854,33.73450470725366,73.1398624529825,33.70197695320417,73.22805974229819,33.76269918777997,0.000591855076473,6940,Bani Gala,Pakistan,Central and Southern Asia,Lower Middle,154614.1539,24.0,downloaded,0.0,12.6,35506,25893,0,37,37,0,0.0,0.1429,0.1429,True,115,71,36,42.47,46.2,True
ucdb_006,2304,Qarshi,Uzbekistan,Uzbekistan,Central and Southern Asia,Lower Middle,512027.1313,149.0,0,65.76807040705366,38.83093502677976,65.6282901744993,38.74816430898715,65.86372168068704,38.91708470993524,0.0019600136812043,2304,Qarshi,Uzbekistan,Central and Southern Asia,Lower Middle,512027.1313,149.0,downloaded,0.0,27.1,124724,97485,19,54565,54568,0,0.0195,55.9727,55.9758,True,118,95,43,41.93,44.86,True
ucdb_007,4821,Kasaji,Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,314536.9724,16.0,0,23.445174281105768,-10.37905415463192,23.41532960114423,-10.398384333439934,23.46686017942605,-10.357689751772574,0.0012040314496291,4821,Kasaji,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,314536.9724,16.0,downloaded,0.0,10.8,15015,14488,0,0,0,0,0.0,0.0,0.0,True,137,28,0,36.04,38.22,False
ucdb_008,1127,Quetta,Pakistan,Pakistan,Central and Southern Asia,Lower Middle,969068.0898,151.0,0,66.99147654464848,30.17808184068448,66.92777683424713,30.078148801254805,67.06931927486194,30.266216603063555,0.0037095431041009,1127,Quetta,Pakistan,Central and Southern Asia,Lower Middle,969068.0898,151.0,downloaded,0.0,33.0,272090,247022,150,13,160,0,0.0607,0.0053,0.0648,True,71,26,1,35.52,40.11,False
ucdb_009,4930,Qarabagh,Afghanistan,Afghanistan,Central and Southern Asia,Low income,134534.3956,34.0,0,69.15400118541343,34.81723622042408,69.11078233671647,34.77134921117593,69.1877924586923,34.85851711524063,0.0005149907882792,4930,Qarabagh,Afghanistan,Central and Southern Asia,Low income,134534.3956,34.0,downloaded,0.0,40.4,10636,7650,0,0,0,0,0.0,0.0,0.0,True,10,0,0,30.73,33.34,False
ucdb_010,885,Dashoguz,Turkmenistan,Turkmenistan,Central and Southern Asia,Upper Middle,182056.1445,44.0,0,59.96495224696992,41.8403138669428,59.89022505927914,41.79470840489557,60.018082903454186,41.876067174479815,0.0006969016135167,885,Dashoguz,Turkmenistan,Central and Southern Asia,Upper Middle,182056.1445,44.0,downloaded,0.0,23.4,1176,1100,0,476,476,0,0.0,43.2727,43.2727,True,92,67,19,40.17,44.09,True
